Parâmetros Gerais
Iterações: 	700
Cross-set: 	4
Amostra: 	1
Limite inferior: 1.000000e-04
 Limite superior 230

Parâmetros do MOPSO

 População:		20
 Inércia Inicial (w_0): 18.0000
 Inércia final (w_f): 	 0.0001
 Coef. Cognitivo (c_1):  1.9000
 Coef. Social (c_2): 	 2.2000
 Velocida Max (v_max): 	20.0000
Modificador: Nenhum

 Amostra 1
      C    Gama    Epsilon       Erro      SV Correlacao
190.0000 2.70856449 0.03500000  0.0005  6.0000  0.0005
20.0001 2.86808592 0.03500000  0.0005  5.0000  0.0005
230.0000 34.91773727 0.03500000  0.0009 23.0000  0.0004
60.0001 34.97507732 0.03500000  0.0009 21.0000  0.0004
202.9075 3.46473039 0.03500000  0.0006  8.0000  0.0005
132.5614 33.94401969 0.03500000  0.0008 22.0000  0.0005
210.0000 34.85722328 0.03500000  0.0009 20.0000  0.0004
20.0001 34.32111289 0.03500000  0.0009 23.0000  0.0004
40.0001 3.32327133 0.03500000  0.0005  6.0000  0.0005
20.0001 33.98108957 0.03500000  0.0009 21.0000  0.0005
20.0001 1.70152177 0.03500000  0.0005  7.0000  0.0005
168.7274 3.10375337 0.03500000  0.0005  6.0000  0.0005
190.9510 35.03513599 0.03500000  0.0009 22.0000  0.0004
40.0001 3.01014974 0.03500000  0.0005  7.0000  0.0005
190.0000 3.22819394 0.03500000  0.0005  6.0000  0.0005
96.7732 2.93059505 0.03500000  0.0005  6.0000  0.0005
199.8703 3.19014607 0.03500000  0.0005  6.0000  0.0005
70.0000 3.21026672 0.03500000  0.0005  6.0000  0.0005
