Dim (X): 1
0.472351 3.133420 0.256216 0.135352 
0.779366 2.283118 1.901491 7.362225 
0.379997 4.459524 0.009585 0.294150 
0.393234 2.935844 0.000011 0.241290 
0.744652 0.005225 0.004240 6.273053 
0.477855 3.784646 0.351988 0.135929 
0.559037 1.914195 0.607924 0.278759 
0.491173 5.146563 0.631715 0.140803 
0.618505 1.852410 0.952044 0.822052 
0.455486 1.232273 0.063421 0.138729 
0.911180 0.151259 0.096745 1.851096 
0.743795 0.013052 0.010579 6.230163 
0.379318 4.530128 0.010804 0.297333 
0.730697 0.553568 0.439572 5.518838 
0.259954 0.519629 0.111036 2.806092 
0.593296 0.043187 0.018606 0.503474 
0.269239 0.076293 0.014285 2.383313 
0.699020 3.925212 2.895818 3.666146 
0.629042 3.086766 1.690665 1.014568 
0.093843 1.276177 0.920540 5.019154 
0.803718 5.006852 4.150012 7.145851 
0.382892 4.146949 0.005316 0.281129 
0.739669 0.099586 0.080242 6.016469 
0.318674 3.538886 0.251089 0.913681 
0.303494 1.758677 0.178809 1.237253 
0.864034 2.988464 2.252013 4.107659 
0.637737 4.103647 2.359137 1.206938 
0.250052 1.362740 0.331303 3.307248 
0.239553 2.529960 0.697020 3.886505 
0.383332 4.097928 0.004792 0.279225 
0.553545 2.549733 0.764682 0.256672 
0.502134 5.833248 0.873462 0.148777 
0.150367 2.204130 1.248658 7.355849 
0.518259 5.856985 1.131067 0.168141 
0.472784 3.185351 0.263206 0.135368 
0.566097 1.177920 0.401189 0.311713 
0.285228 0.252887 0.036604 1.769311 
0.343067 5.745992 0.186255 0.565443 
0.134089 0.613887 0.377986 7.010270 
0.301028 1.495745 0.160216 1.299351 
0.889215 0.457756 0.319376 2.760995 
0.515273 5.945688 1.098638 0.163783 
0.963748 5.255440 2.504000 0.655601 
0.955593 4.502576 2.265767 0.769862 
0.430022 0.009089 0.000168 0.160011 
0.170812 4.566305 2.288629 7.251226 
0.560271 1.777606 0.571652 0.284128 
0.319375 3.621338 0.252240 0.900987 
0.219665 4.787211 1.624773 5.057782 
0.424877 0.119910 0.001646 0.167148 
0.959525 4.890748 2.398197 0.712277 
0.003873 3.462944 2.885094 1.080525 
0.407382 1.337575 0.003841 0.200708 
0.434625 0.016919 0.000393 0.154519 
0.389360 3.399477 0.000505 0.255071 
0.661039 5.897627 3.795631 1.901775 
0.858731 3.620308 2.764697 4.418936 
0.521375 5.721054 1.155351 0.173105 
0.417189 0.509203 0.004059 0.179982 
0.572699 0.619039 0.224291 0.347870 
0.271477 0.027907 0.005053 2.288659 
0.354636 5.996507 0.114946 0.454934 
0.420830 0.292896 0.003077 0.173561 
0.499661 5.721962 0.820872 0.146642 
0.351001 5.985865 0.137486 0.486613 
0.124267 0.099531 0.064082 6.641240 
0.807973 5.355539 4.426658 7.023450 
0.102789 0.525374 0.367877 5.542387 
0.462206 1.939463 0.121746 0.136443 
0.321416 3.858634 0.254415 0.865015 
0.486483 4.718024 0.527821 0.138511 
0.851020 4.482084 3.483581 4.877386 
0.617135 1.702286 0.867318 0.799950 
0.042788 5.970337 4.830955 2.293074 
0.961162 5.039138 2.443859 0.689689 
0.655616 5.662517 3.557295 1.714629 
0.960517 4.981668 2.426554 0.698496 
0.500688 5.771468 0.842945 0.147504 
0.648357 5.155286 3.129398 1.488983 
0.382525 4.187461 0.005776 0.282729 
0.639509 4.298446 2.494544 1.250245 
0.998581 5.345218 1.928148 0.345029 
0.070876 3.905316 2.999789 3.675858 
0.110873 0.114741 0.078012 5.991054 
0.348410 5.939733 0.153730 0.510843 
0.953762 4.308625 2.193840 0.798347 
0.202090 5.921253 2.353921 6.054500 
0.602925 0.450384 0.208450 0.605058 
0.456335 1.315628 0.069515 0.138369 
0.319057 3.583979 0.251743 0.906725 
0.711739 2.418092 1.845148 4.399621 
0.372235 5.190481 0.028917 0.333765 
0.192024 5.955200 2.567188 6.547801 
0.200225 5.964020 2.407970 6.151617 
0.388822 3.463344 0.000694 0.257087 
0.548361 3.170050 0.898466 0.238324 
0.487432 4.810123 0.548542 0.138923 
0.736338 0.227105 0.182059 5.836322 
0.912441 0.202287 0.128661 1.807135 
0.016876 4.874775 4.043830 1.399224 
0.702045 3.574016 2.659351 3.836398 
0.897933 0.066532 0.044948 2.367241 
0.339765 5.562963 0.204744 0.602575 
0.065507 4.494063 3.493754 3.381869 
0.656175 5.692728 3.585391 1.733154 
0.318924 3.568316 0.251523 0.909137 
0.295107 0.928683 0.112063 1.460453 
0.670333 5.981938 4.001434 2.260956 
0.709009 2.742273 2.078424 4.238863 
0.386360 3.752574 0.002010 0.266659 
0.095690 1.099653 0.788553 5.128525 
0.996043 5.522795 2.038579 0.360308 
0.349964 5.971229 0.143991 0.496142 
0.700796 3.720393 2.758624 3.765689 
0.630769 3.293598 1.821911 1.050227 
0.364946 5.687287 0.058170 0.378091 
0.331542 4.921907 0.240591 0.707573 
0.027545 5.676051 4.672854 1.722806 
0.477378 3.729317 0.343120 0.135846 
0.344417 5.807158 0.178269 0.551036 
0.204712 5.833735 2.268235 5.914314 
0.036225 5.977771 4.877617 2.031454 
0.495848 5.498793 0.736807 0.143741 
0.600752 0.322752 0.147052 0.580202 
0.445525 0.430320 0.015774 0.144534 
0.058811 5.129293 4.042200 3.033067 
0.071483 3.835636 2.942084 3.709791 
0.623857 2.467464 1.310719 0.914663 
0.027226 5.658553 4.659756 1.712270 
0.743166 0.021034 0.017033 6.198334 
0.080672 2.744414 2.057021 4.237813 
0.528673 5.242384 1.169831 0.186541 
0.556303 2.225905 0.687270 0.267403 
0.334880 5.211452 0.228180 0.662680 
0.981908 5.999939 2.496777 0.463792 
0.435452 0.029073 0.000702 0.153617 
0.420718 0.298706 0.003114 0.173748 
0.187901 5.830331 2.593366 6.724462 
0.342228 5.703862 0.191114 0.574633 
0.633974 3.672878 2.068618 1.119686 
0.149475 2.101435 1.196303 7.346467 
0.741072 0.061152 0.049375 6.090402 
0.913410 0.246349 0.156008 1.773943 
0.975385 5.903362 2.584884 0.523965 
0.618285 1.828077 0.938236 0.818463 
0.414691 0.688436 0.004428 0.184767 
0.478663 3.877885 0.367269 0.136083 
0.647538 5.085764 3.074822 1.465249 
0.107748 0.239723 0.164903 5.821348 
0.142781 1.376166 0.811681 7.239766 
0.649207 5.224978 3.184848 1.513975 
0.614971 1.473357 0.740300 0.766324 
0.953142 4.241270 2.168087 0.808250 
0.783801 2.808439 2.340270 7.387171 
0.191463 5.942884 2.572969 6.572773 
0.954828 4.422469 2.236474 0.781629 
0.088996 1.781468 1.304238 4.730824 
0.556609 2.190533 0.678505 0.268636 
0.107497 0.251662 0.173275 5.807491 
0.293386 0.784309 0.097830 1.510570 
0.755286 0.199041 0.163473 6.753156 
0.406193 1.458245 0.003537 0.203598 
0.124596 0.109848 0.070624 6.655244 
0.652835 5.492600 3.406401 1.624881 
0.914574 0.304739 0.191972 1.734754 
0.465592 2.328171 0.160320 0.135767 
0.447211 0.540487 0.021077 0.143339 
0.223083 4.442113 1.458048 4.854680 
0.936867 2.332313 1.313270 1.118694 
0.225638 4.166174 1.332877 4.702507 
0.763321 0.681927 0.563852 7.038952 
0.398638 2.293967 0.001079 0.224099 
0.829060 5.953824 4.811717 6.124966 
0.939417 2.633576 1.461868 1.063126 
0.929692 1.531737 0.896393 1.290483 
0.112317 0.072115 0.048760 6.067550 
0.536759 4.492701 1.111525 0.204773 
0.942030 2.946275 1.611148 1.008995 
0.551698 2.769875 0.814371 0.249872 
0.893900 0.205529 0.140988 2.544132 
0.607290 0.763815 0.364536 0.658711 
0.489942 5.040810 0.604146 0.140139 
0.612390 1.215348 0.600408 0.728174 
0.870422 2.230620 1.652009 3.741959 
0.493029 5.296122 0.673472 0.141890 
0.086077 2.109165 1.557377 4.557120 
0.603999 0.520663 0.242829 0.617793 
0.896641 0.102901 0.069864 2.422908 
0.319097 3.588732 0.251809 0.905994 
0.655400 5.650453 3.546204 1.707497 
0.650528 5.328148 3.268473 1.553555 
0.472840 3.192060 0.264117 0.135370 
0.674234 5.894635 4.003304 2.426326 
0.204387 5.846290 2.279431 5.931898 
0.393512 2.902451 0.000026 0.240349 
0.419591 0.360290 0.003461 0.175675 
0.409550 1.127562 0.004263 0.195662 
0.888803 0.484400 0.338457 2.780677 
0.347765 5.923336 0.157750 0.517089 
0.987904 5.909491 2.341063 0.415778 
