Dim (X): 1
0.551875 2.853742 0.691370 0.196125 
0.669877 5.791124 3.971819 2.228410 
0.786076 3.145324 2.687391 7.213628 
0.408337 1.230350 -0.177395 0.171757 
0.694545 4.411893 3.275152 3.822322 
0.280882 0.050027 0.247509 1.932310 
0.136908 0.871061 0.502159 7.140780 
0.011907 4.490735 3.847704 1.527396 
0.036224 5.630788 4.853125 1.998408 
0.352840 5.989908 0.161280 0.358154 
0.803634 4.701777 3.800861 7.186327 
0.435596 -0.231145 -0.231972 0.300364 
0.144186 1.436752 0.768359 7.354586 
0.311935 2.661882 0.103671 1.167417 
0.126514 0.651327 -0.113671 6.706569 
0.839705 5.555729 3.993733 5.269987 
0.446197 0.519943 -0.459808 0.127285 
0.098663 0.711870 0.769744 5.339199 
0.942334 3.043999 1.716102 1.026094 
0.962624 5.222123 2.710994 0.706347 
0.275109 -0.103546 0.212773 1.969155 
0.844331 4.795130 3.849318 5.190712 
0.879177 1.301942 1.129767 3.191211 
0.625005 2.407612 1.193192 0.872007 
0.461632 1.723803 0.272285 0.018411 
0.692734 4.310839 3.259641 3.183492 
0.314159 2.772886 0.331059 1.225289 
0.515959 5.920013 1.124133 0.404699 
0.345124 5.850863 0.365138 0.433451 
0.555928 2.490097 0.686610 0.188823 
0.713188 2.117121 1.425450 4.269830 
0.360792 5.515452 0.216255 0.371288 
0.169219 4.437622 2.368123 7.515383 
0.650221 5.402730 3.320241 1.845696 
0.337756 5.362851 0.086003 0.607925 
0.522888 5.624057 1.165296 0.276708 
0.622834 2.676396 1.128952 0.608558 
0.679443 5.571534 3.899225 2.896748 
0.923180 0.569347 0.647471 1.690552 
0.086719 2.329255 1.560933 4.217297 
0.511641 5.813908 0.775278 0.085465 
0.596732 -0.061753 0.127665 0.699471 
0.739482 0.044458 0.265862 5.705355 
0.174287 4.571857 2.331079 7.107577 
0.552714 2.579991 0.897392 0.114416 
0.692610 4.795261 3.238807 3.440045 
0.023440 5.654533 4.147481 1.657986 
0.704933 3.141558 2.541716 3.876751 
0.377550 4.871625 -0.152772 0.296505 
0.958219 4.758932 2.080355 0.918924 
0.604627 0.479429 -0.258675 0.535394 
0.420278 0.570970 0.053858 0.056152 
0.363013 5.666356 0.250782 0.570330 
0.037323 5.615058 4.710373 2.114926 
0.174413 4.846425 2.175934 7.015484 
0.402402 1.831473 0.085440 -0.049102 
0.239947 2.476584 0.572177 3.852569 
0.126390 -0.021173 -0.047031 6.862595 
0.429154 0.009690 -0.226285 0.112550 
0.988469 5.860383 2.458650 0.497158 
0.547582 3.640145 0.835240 0.584759 
0.507242 6.025223 0.940953 -0.116757 
0.300479 1.436247 0.033040 1.049266 
0.568781 0.782692 0.768420 0.562794 
0.311937 2.929176 0.362435 1.081883 
0.043580 5.841489 4.661099 2.450740 
0.475426 3.577207 0.166405 0.386406 
0.702995 3.729576 2.720978 3.965998 
0.707529 2.786863 2.206815 3.955470 
0.584664 -0.044257 -0.095384 0.315272 
0.386416 3.464895 -0.217247 0.459185 
0.045939 5.687668 4.840183 2.156522 
0.581196 0.223576 0.176201 0.396531 
0.278212 -0.024692 -0.122845 2.137641 
0.307562 2.026382 0.127498 1.254506 
0.514598 6.007932 0.644558 0.061769 
0.343416 5.941996 0.013551 0.603255 
0.788657 3.786966 2.720682 7.405577 
0.766414 1.010102 0.896030 6.957128 
0.260140 0.718168 0.113103 2.377714 
0.364596 5.685308 0.090659 0.412265 
0.270895 -0.162474 0.080466 2.171939 
0.490948 5.157859 0.608790 0.334696 
0.454860 1.655526 -0.169141 -0.018437 
0.915167 0.264296 0.008825 1.726881 
0.789897 3.559823 2.908727 7.461588 
0.631636 3.308130 1.931104 1.156577 
0.483385 3.931718 0.431661 0.319488 
0.302087 1.540851 0.137738 1.281744 
0.899292 -0.070020 0.154054 2.660646 
0.663767 6.013866 3.848955 1.776727 
0.716697 1.811050 1.319453 5.081955 
0.205675 5.982202 2.132767 6.003470 
0.824545 5.965043 4.463607 6.083943 
0.685587 5.224205 3.814109 3.026173 
0.728478 0.318565 1.121698 5.511529 
0.746173 -0.000485 -0.003221 6.218212 
0.531844 4.962383 1.249336 -0.099283 
