Parâmetros Gerais
Iterações: 	100
Cross-set: 	4
Amostra: 	1
Limite inferior: 1.000000e-05
 Limite superior 250

Parâmetros do MOPSO

 População:		20
 Inércia Inicial (w_0): 18.0000
 Inércia final (w_f): 	 0.0001
 Coef. Cognitivo (c_1):  1.9000
 Coef. Social (c_2): 	 2.2000
 Velocida Max (v_max): 	25.0000
 Loss Function (e): 	 0.0350
Modificador: Nenhum

 Amostra 1 Y 1 - Fase 1
      C    Gama       Erro      SV Correlacao
50.0000 125.00001000 0.03507815 128.7500  0.0076
107.2890 250.00000000 0.04077537 121.2500  0.0088
46.8319 145.73421295 0.03622237 123.7500  0.0078
80.4155 187.08547248 0.03951532 123.5000  0.0085
33.1194 133.68264535 0.03513358 128.0000  0.0076
40.6283 139.61738848 0.03540205 126.0000  0.0076
69.2502 225.00000000 0.03962327 123.2500  0.0085
33.1194 150.00000000 0.03578400 124.7500  0.0077
160.6960 232.05385221 0.04072003 122.5000  0.0088
50.0000 141.45693773 0.03591941 124.5000  0.0077
50.0000 137.07747863 0.03541851 125.7500  0.0076
75.0000 225.00000000 0.03962386 122.7500  0.0085
102.5139 247.61130857 0.04061863 122.0000  0.0088
108.1222 248.75178179 0.04072146 121.5000  0.0088
92.8914 250.00000000 0.04063755 121.7500  0.0088

 Amostra 1 Y 2 - Fase 1
      C    Gama       Erro      SV Correlacao
153.4305 105.77640199 0.03476564 125.5000  0.0157
42.1499 167.96556549 0.03610513 121.2500  0.0162
250.0000 123.32964956 0.03551988 121.7500  0.0159
154.7771 108.63875243 0.03501134 124.5000  0.0157
107.6157 118.77852971 0.03509981 123.5000  0.0158
136.6637 110.16936862 0.03481459 124.7500  0.0157
181.8299 128.43336894 0.03546536 122.5000  0.0159
92.3020 125.00000000 0.03525700 123.2500  0.0158
218.1364 125.01524401 0.03549297 122.2500  0.0159
250.0000 107.62337396 0.03539079 123.0000  0.0159
219.8431 106.84838598 0.03530038 123.2500  0.0158
142.5659 108.38222038 0.03480920 124.7500  0.0157
75.0000 132.56389127 0.03534500 123.0000  0.0159
250.0000 106.84838598 0.03529345 123.2500  0.0158

 Amostra 1 Y 3 - Fase 1
      C    Gama       Erro      SV Correlacao
11.7175 74.57245656 0.03954550 131.7500  0.0066
250.0000 31.98833271 0.04136565 128.7500  0.0068
25.0000 50.00000000 0.04042978 130.0000  0.0067
 2.6074 100.00001000 0.04008389 131.0000  0.0067
25.0000 75.00001000 0.04006640 131.2500  0.0068
 4.0049 100.00001000 0.03966072 131.5000  0.0067

 Amostra 1 Y 1 - Fase 2
      C    Gama       Erro       SV Correlacao
250.0000 0.08784135 0.03269871 120.5000  0.0071

 Amostra 1 Y 2 - Fase 2
      C    Gama       Erro       SV Correlacao
53.1364 0.01013111 0.02706598 120.5000  0.0121
250.0000 0.06050242 0.02931299 117.0000  0.0132
57.9986 0.01140923 0.02703331 117.7500  0.0121
57.9986 0.01140923 0.02703331 117.7500  0.0121

 Amostra 1 Y 3 - Fase 2
      C    Gama       Erro       SV Correlacao
58.2206 0.08091170 0.03502945 125.0000  0.0059
