Parâmetros Gerais
Iterações: 	250
Cross-set: 	3
Amostra: 	1
Limite inferior: 1.000000e-04
 Limite superior 200

Parâmetros do MOPSO

 População:		15
 Inércia Inicial (w_0):  8.0000
 Inércia final (w_f): 	 0.0001
 Coef. Cognitivo (c_1):  1.9000
 Coef. Social (c_2): 	 2.1000
 Velocida Max (v_max): 	12.0000
Modificador: Nenhum

 Amostra 1 Y 1 - Fase 1
      C    Gama    Epsilon       Erro      SV Correlacao
200.0000 49.90721260 0.03500000  0.8155  8.6667  0.8390
200.0000 65.92623644 0.03500000  0.8294  8.3333  0.8627
200.0000 27.21487896 0.03500000  0.9037 10.0000  0.7780
154.6338 26.67779785 0.03500000  0.9119  9.6667  0.7773
 0.0001 12.00010000 0.03500000  0.9186  6.6667  0.8496
 0.0001 20.00000000 0.03500000  0.9186  6.6667  0.8291
54.3347 31.14432713 0.03500000  0.8616 10.0000  0.7878
200.0000 28.42231523 0.03500000  0.8883 10.0000  0.7809
200.0000 33.64012531 0.03500000  0.8443 10.0000  0.7943
200.0000 29.42895727 0.03500000  0.8773 10.0000  0.7833
200.0000 46.48744414 0.03500000  0.8159  9.0000  0.8320
200.0000 34.48212353 0.03500000  0.8396 10.0000  0.7965
194.8016 44.41709163 0.03500000  0.8171  9.3333  0.8271
99.1538 30.36817895 0.03500000  0.8680 10.0000  0.7855
200.0000 39.21487896 0.03500000  0.8259  9.3333  0.8151
195.0661 37.61825608 0.03500000  0.8302  9.0000  0.8098
200.0000 35.17961438 0.03500000  0.8363  9.3333  0.7985
200.0000 35.44407739 0.03500000  0.8352  9.0000  0.7996
200.0000 36.00010000 0.03500000  0.8337  9.0000  0.8023
200.0000 41.42895727 0.03500000  0.8208  9.0000  0.8195

 Amostra 1 Y 2 - Fase 1
      C    Gama    Epsilon       Erro      SV Correlacao
34.2719 1.69158651 0.03500000  9.9296 10.0000  0.6286
200.0000 0.90784253 0.03500000 12.0955 10.0000  0.4234
149.2784 0.00415083 0.03500000 13.7319  9.3333  0.7875
200.0000 0.00010000 0.03500000 14.5188  7.3333  0.7219
187.0936 6.59541535 0.03500000 35.5400  9.6667  0.6567
 0.0001 1.90426365 0.03500000 14.5816  7.3333  0.6691
 0.1946 18.13783145 0.03500000 14.3121  8.3333  0.7802
104.8055 0.96758170 0.03500000 10.7347 10.0000  0.5649
200.0000 0.73928770 0.03500000 11.8058 10.0000  0.5069
200.0000 0.81280872 0.03500000 11.8123 10.0000  0.4598
163.8496 0.32119955 0.03500000 12.0997  9.6667  0.7657
 0.3624 0.77138269 0.03500000 14.1435  9.3333  0.6820
95.2923 0.92697434 0.03500000 10.1286 10.0000  0.6043
 1.1433 0.00690274 0.03500000 14.5570  7.3333  0.7214
 1.2240 5.09019423 0.03500000 13.7427  9.6667  0.7509
16.5278 0.00010000 0.03500000 14.5754  7.3333  0.6821
 4.2183 7.81950087 0.03500000 12.1474  9.6667  0.7560
94.9097 0.89784583 0.03500000 10.0551 10.0000  0.6170

 Amostra 1 Y 3 - Fase 1
      C    Gama    Epsilon       Erro      SV Correlacao
 8.0000 36.00010000 0.03500000  3.8659 10.0000  0.7775
 1.1528 80.00000000 0.03500000  5.3536 10.0000  0.5418
 0.0001 42.26178059 0.03500000  6.4107  9.3333  0.5440
159.6936 89.53320275 0.03500000  4.4102  9.6667  0.6704
39.6094 25.20410603 0.03500000  4.0249  9.6667  0.7217
200.0000 0.00010000 0.03500000  6.3455  9.3333  0.6325
 2.2205 131.26961152 0.03500000  5.1708 10.0000  0.5865
 2.7080 123.05391773 0.03500000  4.9257 10.0000  0.6119
87.3389 29.01657854 0.03500000  3.9137 10.0000  0.7459
 0.0001 32.00000000 0.03500000  6.4107  9.3333  0.5556
200.0000 23.99679433 0.03500000  4.0903 10.0000  0.7119
 1.5603 18.23037395 0.03500000  4.2238  9.6667  0.6991
116.8645 101.30562889 0.03500000  4.5359 10.0000  0.6457
39.6778 95.10644804 0.03500000  4.4703 10.0000  0.6579
146.5490 25.88052957 0.03500000  3.9960 10.0000  0.7267
 0.0001 25.82586360 0.03500000  6.4106  9.3333  0.5871
33.7557 113.43418452 0.03500000  4.6592 10.0000  0.6274
21.4598 123.88005803 0.03500000  4.7596 10.0000  0.6182
79.1998 32.35055624 0.03500000  3.8819 10.0000  0.7590
79.1998 32.35055624 0.03500000  3.8819 10.0000  0.7590

 Amostra 1 Y 1 - Fase 2
